a,h,e,phase
3.8,10.1,2.72,-308.69963775099006
3.2,11.4,2.53,-337.9262008303424
10.8,11.2,2.25,-364.91392220662084
3.6,11.3,2.25,-325.74187189323567
10.7,11.8,1.24,-308.7016431590437
8.5,11.4,2.25,-357.1927960264013
7.2,10.1,2.72,-333.11276624689935
3.5,11.9,1.24,-296.83155327582506
8.4,12.0,1.24,-309.7163832897003
11.8,12.0,1.24,-317.39144937455296
12.1,10.2,2.72,-369.0128674688084
4.6,12.1,1.24,-303.8284751435692
8.1,11.5,2.53,-370.8383106550614
11.5,11.5,2.53,-391.50181364373725
4.9,10.3,2.72,-323.14732850265375
11.9,11.4,2.25,-376.72179397806315
4.7,11.5,2.25,-337.7699104436891
8.3,10.3,2.72,-345.51776626480944
9.6,11.6,2.25,-368.79824754336215
9.5,12.2,1.24,-316.81583764054903
13.2,10.4,2.72,-380.16191511183706
6.0,10.5,2.72,-336.8287093612293
9.4,10.5,2.72,-359.026954649468
13.0,11.6,2.25,-387.80415644192846
5.8,11.7,2.25,-349.5143680007279
2.2,10.6,2.72,-313.6045723765708
7.1,10.7,2.72,-349.74294413981835
10.5,10.7,2.72,-371.08410869111617
4.3,11.6,2.53,-350.4429542090856
12.9,12.2,1.24,-325.00381367424234
2.0,11.8,2.25,-332.2300273780005
3.3,10.8,2.72,-327.2911643819972
6.9,11.9,2.25,-361.2983585443053
11.6,10.9,2.72,-384.3810303378846
5.7,12.3,1.24,-311.11189613728243
4.4,11.0,2.72,-341.1893283866745
10.6,12.4,1.24,-323.61342773833326
12.7,11.1,2.72,-396.3711003739819
9.2,11.7,2.53,-382.2908482210388
14.0,12.4,1.24,-332.3685614907931
12.6,11.7,2.53,-404.570512236499
5.5,11.2,2.72,-354.1395895394958
8.9,11.2,2.72,-375.4572871600644
5.4,11.8,2.53,-362.929915135799
6.8,12.5,1.24,-318.7676653786437
10.3,11.9,2.53,-394.12044583627505
3.0,12.6,1.24,-313.7476650086557
3.1,12.0,2.25,-343.7836995339938
13.8,11.3,2.72,-415.2519276407582
8.0,12.1,2.25,-373.67439602865375
11.7,12.6,1.24,-332.1646373406714
6.6,11.4,2.72,-366.5981541258771
13.7,11.9,2.53,-423.03452086172
10.0,11.4,2.72,-387.2817065948889
7.9,12.7,1.24,-326.3836534832751
6.5,12.0,2.53,-374.8149491351533
4.2,12.2,2.25,-355.2246310437766
2.7,12.1,2.53,-355.8335491294841
4.1,12.8,1.24,-320.78211763102865
2.8,11.5,2.72,-346.05477516216104
11.4,12.1,2.53,-407.5024069289561
7.7,11.6,2.72,-378.78348867039193
9.1,12.3,2.25,-384.635717206278
11.1,11.6,2.72,-399.33604617892524
3.9,11.7,2.72,-359.1239306546333
7.6,12.2,2.53,-386.6448863317067
3.8,12.3,2.53,-368.19023235127537
8.7,12.4,2.53,-398.95165013286794
12.8,12.8,1.24,-338.5488365137148
9.0,12.9,1.24,-333.16458388305966
12.5,12.3,2.25,-403.9997135602307
5.3,12.4,2.25,-366.84221187579533
10.2,12.5,2.25,-396.0301680301578
5.2,13.0,1.24,-327.4513313499731
8.8,11.8,2.72,-391.3519012412934
13.6,12.5,2.25,-422.54883575093277
6.4,12.6,2.25,-378.09936853986045
13.9,13.0,1.24,-346.61612520684116
10.1,13.1,1.24,-340.6106183590466
2.6,12.7,2.25,-361.3903003957909
12.2,11.8,2.72,-415.49207016108073
5.0,11.9,2.72,-371.353854648066
9.9,12.0,2.72,-403.7393974728208
2.9,13.2,1.24,-328.6883595399286
6.3,13.2,1.24,-335.3531593232815
11.2,13.3,1.24,-347.27366567106543
4.9,12.5,2.53,-379.9664557461279
13.3,12.0,2.72,-438.06999216806736
9.8,12.6,2.53,-410.99536586621787
6.0,12.7,2.53,-392.0055892869077
6.1,12.1,2.72,-383.9775464326647
2.3,12.2,2.72,-364.27917944816454
2.2,12.8,2.53,-374.0504218707398
7.4,13.4,1.24,-341.94092697604697
11.3,12.7,2.25,-408.76052403315555
11.0,12.2,2.72,-416.3362319841502
7.2,12.3,2.72,-396.46171311946955
3.4,12.4,2.72,-376.4793572657912
7.5,12.8,2.25,-390.0096867727652
12.3,13.5,1.24,-355.31892522095893
3.7,12.9,2.25,-372.77245601652226
12.4,12.9,2.25,-420.7737478786047
8.6,13.0,2.25,-401.15033462457524
10.9,12.8,2.53,-424.0372568217918
12.1,12.4,2.72,-434.70782302871305
8.5,13.6,1.24,-349.5483291376461
8.3,12.5,2.72,-409.3291811860496
13.4,13.7,1.24,-362.7018178318547
9.6,13.8,1.24,-356.207770496972
4.8,13.1,2.25,-383.8427805046111
2.4,13.9,1.24,-345.8218885519794
13.5,13.1,2.25,-441.76333268892284
5.8,13.9,1.24,-351.136783302234
7.1,12.9,2.53,-404.2686874826614
10.7,14.0,1.24,-364.13812870206345
3.3,13.0,2.53,-385.5469775302516
9.7,13.2,2.25,-412.8681149429887
12.0,13.0,2.53,-442.6155610824411
4.5,12.6,2.72,-389.04418261665
2.5,13.3,2.25,-378.23444893791145
5.9,13.3,2.25,-394.93072944147633
13.2,12.6,2.72,-451.01703472608756
10.8,13.4,2.25,-424.83875920190803
9.4,12.7,2.72,-421.4156058449041
8.2,13.1,2.53,-417.09395182781924
5.6,12.8,2.72,-401.09651418959385
4.4,13.2,2.53,-397.45117647327123
10.5,12.9,2.72,-435.3114293134785
3.5,14.1,1.24,-352.57421193035105
6.9,14.1,1.24,-359.2035725326277
6.7,13.0,2.72,-413.97038953925505
3.6,13.5,2.25,-389.1373321521031
11.6,13.1,2.72,-456.6528292361012
7.0,13.5,2.25,-406.5029111210708
11.9,13.6,2.25,-441.7054906670395
4.7,13.7,2.25,-400.26731878297085
11.8,14.2,1.24,-371.0767058953971
4.6,14.3,1.24,-359.6493744238301
8.0,14.3,1.24,-365.4913183162876
8.1,13.7,2.25,-418.4143410957478
13.1,13.2,2.53,-458.9524432474948
9.3,13.3,2.53,-429.34056477335656
12.9,14.4,1.24,-379.5658243057549
7.8,13.2,2.72,-426.55588359894006
2.1,13.4,2.53,-391.01503500882444
13.0,13.8,2.25,-456.34841572766175
5.5,13.4,2.53,-409.30541221785427
5.7,14.5,1.24,-366.9298534173699
9.1,14.5,1.24,-373.03958897100364
4.0,13.3,2.72,-406.4397631294938
10.4,13.5,2.53,-444.9714891262489
9.2,13.9,2.25,-430.34532877229134
3.2,13.6,2.53,-402.4571695382865
14.0,14.6,1.24,-385.74392921673484
12.7,13.3,2.72,-476.25071363090774
2.0,14.0,2.25,-396.05143321881997
6.6,13.6,2.53,-421.9470914677067
6.8,14.7,1.24,-373.8435644530206
10.3,14.1,2.25,-443.3903035164181
11.5,13.7,2.53,-464.3180059444842
4.3,13.8,2.53,-414.1608144184731
7.7,13.8,2.53,-434.4478851381368
3.1,14.2,2.25,-406.6551193310389
11.4,14.3,2.25,-462.0449331405178
4.2,14.4,2.25,-417.46144731524726
10.2,14.7,1.24,-379.5019039850042
8.9,13.4,2.72,-440.7842345310291
3.0,14.8,1.24,-369.1622739872887
5.1,13.5,2.72,-418.4745875991775
7.9,14.9,1.24,-380.2041326686031
12.6,13.9,2.53,-483.69576822772365
5.4,14.0,2.53,-426.0429883856969
7.6,14.4,2.25,-436.29462380806365
8.8,14.0,2.53,-448.55269558990534
13.8,13.5,2.72,-512.0379139933287
13.7,14.1,2.53,-518.123841499513
11.3,14.9,1.24,-387.2538151114714
6.5,14.2,2.53,-439.21978623149585
10.0,13.6,2.72,-458.20145942356237
4.1,15.0,1.24,-375.72617171592776
9.0,15.1,1.24,-387.70606982587634
12.4,15.1,1.24,-393.7652388387809
2.8,13.7,2.72,-411.639654672937
6.2,13.7,2.72,-430.99192980103817
5.2,15.2,1.24,-382.65044778794817
9.9,14.2,2.53,-465.7760959449194
10.1,15.3,1.24,-394.0830826583114
11.1,13.8,2.72,-476.43533327286497
2.7,14.3,2.53,-419.8732007341613
11.0,14.4,2.53,-483.57682527472747
12.5,14.5,2.25,-478.96947345476843
3.8,14.5,2.53,-431.59217449025607
12.1,14.6,2.53,-508.84890273632925
3.9,13.9,2.72,-423.302550165923
4.9,14.7,2.53,-443.49342589657135
5.3,14.6,2.25,-428.7869569166604
13.2,14.8,2.53,-550.0909326508188
8.7,14.6,2.25,-449.20168885180516
13.5,15.3,1.24,-402.50044073995207
7.3,13.9,2.72,-444.8439220045515
12.2,14.0,2.72,-502.23420926725845
6.0,14.9,2.53,-456.3053957025115
5.0,14.1,2.72,-435.4456712094115
9.4,14.9,2.53,-484.96676279021716
6.3,15.4,1.24,-389.78459222491995
8.4,14.1,2.72,-460.2109845748679
13.6,14.7,2.25,-508.4068818399468
2.2,15.0,2.53,-437.5273012004337
6.4,14.8,2.25,-441.08755124328263
7.1,15.1,2.53,-471.4342459108682
2.5,15.5,1.24,-386.2374649546838
13.3,14.2,2.72,-544.6103124289974
6.1,14.3,2.72,-448.47947934622715
7.4,15.6,1.24,-396.6882380793332
10.5,15.1,2.53,-507.1493847917944
9.5,14.3,2.72,-477.6660670263618
3.6,15.7,1.24,-392.6570643607208
8.5,15.8,1.24,-404.3390160655331
3.3,15.2,2.53,-449.01338522886397
2.3,14.4,2.72,-428.97410955646507
8.2,15.3,2.53,-488.150693589738
7.2,14.5,2.72,-463.79595794728516
11.6,15.3,2.53,-538.3514929285075
11.9,15.8,1.24,-411.3197793287494
10.6,14.5,2.72,-500.43620893168236
9.8,14.8,2.25,-464.74099648039066
3.4,14.6,2.72,-440.8701231503214
4.4,15.4,2.53,-460.84730995108976
8.3,14.7,2.72,-480.850814473745
2.6,14.9,2.25,-423.7448872929318
4.7,15.9,1.24,-399.25559680569546
11.7,14.7,2.72,-529.6636247526739
4.5,14.8,2.72,-453.4068666515028
9.3,15.5,2.53,-507.17048183282697
7.5,15.0,2.25,-453.95336571086114
9.6,16.0,1.24,-411.32899859319554
12.7,15.5,2.53,-565.0161937843925
13.0,16.0,1.24,-419.59448571650444
12.8,14.9,2.72,-558.1946481036522
5.6,15.0,2.72,-467.620971314917
10.9,15.0,2.25,-480.63655898121556
5.8,16.1,1.24,-406.35825527964795
3.7,15.1,2.25,-434.5601506269867
2.0,16.2,1.24,-402.75781357571395
5.5,15.6,2.53,-475.30686591714186
10.7,16.2,1.24,-418.85371978430646
10.4,15.7,2.53,-531.8153843921247
13.8,15.7,2.53,-602.5766231906645
6.9,16.3,1.24,-413.2356904358489
3.1,16.4,1.24,-408.9979960606383
6.6,15.8,2.53,-490.24130564078575
13.9,15.1,2.72,-602.4184780324262
2.8,15.9,2.53,-466.40025053594775
11.5,15.9,2.53,-560.1173094342464
11.8,16.4,1.24,-426.2306842634946
8.6,15.2,2.25,-467.77007228331297
8.0,16.5,1.24,-419.96973183437785
4.2,16.6,1.24,-416.407155608754
7.7,16.0,2.53,-507.59102402775443
12.9,16.6,1.24,-434.84689913719814
3.9,16.1,2.53,-478.7362041350837
12.6,16.1,2.53,-592.0804551895455
8.8,16.2,2.53,-528.2348180838497
9.1,16.7,1.24,-428.3559205647854
12.0,15.2,2.25,-502.95590882992457
5.0,16.3,2.53,-493.5042382584268
4.8,15.3,2.25,-445.92281670678244
9.7,15.4,2.25,-484.516742959991
13.1,15.4,2.25,-537.6095819228103
9.9,16.4,2.53,-553.796137574247
5.9,15.5,2.25,-458.6594814757692
5.3,16.8,1.24,-424.17284594204114
6.1,16.5,2.53,-509.95315354364834
14.0,16.8,1.24,-441.1874028226336
2.1,15.6,2.25,-441.2096179070539
6.7,15.2,2.72,-483.06921860961484
10.8,15.6,2.25,-502.63312675094363
2.9,15.3,2.72,-458.6013054822088
7.8,15.4,2.72,-500.98518699319675
7.0,15.7,2.25,-471.71963025725273
11.0,16.6,2.53,-579.8983249907944
7.2,16.7,2.53,-528.3070830219997
10.2,16.9,1.24,-435.7357132906685
3.2,15.8,2.25,-452.12382414724107
8.1,15.9,2.25,-486.8003486615969
3.0,17.0,1.24,-424.03933542342526
3.4,16.8,2.53,-496.38414180124585
11.2,15.4,2.72,-551.5739474829992
4.0,15.5,2.72,-471.0985327514148
8.9,15.6,2.72,-522.291922444315
6.4,17.0,1.24,-429.8812834947182
4.3,16.0,2.25,-463.2586079749989
12.1,16.8,2.53,-612.823774914964
9.2,16.1,2.25,-503.4786192185578
12.3,15.6,2.72,-587.5655763002501
5.1,15.7,2.72,-486.11637397593626
11.3,17.1,1.24,-443.1449402928504
8.3,16.9,2.53,-548.7120225843311
10.0,15.8,2.72,-549.7411321681811
4.5,17.0,2.53,-511.28153754666516
13.2,17.0,2.53,-645.7734578693861
4.1,17.2,1.24,-430.61853756958834
9.4,17.1,2.53,-571.9717101015123
13.4,15.8,2.72,-625.6600354291375
6.2,15.9,2.72,-502.3573718184928
2.4,16.0,2.72,-476.0537845021628
5.4,16.2,2.25,-476.53031421964977
11.1,16.0,2.72,-577.8070226467687
7.3,16.1,2.72,-522.2798396587729
2.2,17.2,2.53,-500.6772260352741
5.6,17.2,2.53,-527.5426998121757
10.3,16.3,2.25,-525.0005787401726
7.5,17.2,1.24,-437.64971051917985
13.7,16.3,2.25,-585.5592232876456
3.5,16.2,2.72,-489.0234803479166
6.5,16.4,2.25,-490.00966009269354
10.5,17.3,2.53,-600.3048449591238
2.7,16.5,2.25,-469.11132601541294
11.4,16.5,2.25,-549.1594055776134
12.2,16.2,2.72,-612.8013611858647
12.4,17.3,1.24,-450.6073073897908
8.6,17.4,1.24,-443.79691599259894
13.5,17.5,1.24,-459.13019616921616
9.7,17.6,1.24,-452.9717365929002
7.6,16.6,2.25,-506.1936170897591
3.8,16.7,2.25,-480.38174540943135
8.4,16.3,2.72,-543.8728759942178
2.5,17.7,1.24,-441.3968797693002
3.3,17.4,2.53,-513.2990707616303
6.7,17.4,2.53,-546.9903984554228
4.6,16.4,2.72,-504.1832488374363
11.6,17.5,2.53,-631.2665530388504
13.3,16.4,2.72,-647.0044102350196
9.5,16.5,2.72,-569.8908452160133
4.4,17.6,2.53,-529.1502127858784
12.5,16.7,2.25,-577.4009164941544
10.8,17.8,1.24,-459.7844330343757
7.8,17.6,2.53,-568.4370758195575
8.7,16.8,2.25,-523.9159460763102
3.6,17.9,1.24,-448.25555033138164
7.0,17.9,1.24,-455.100517297886
12.7,17.7,2.53,-654.5913506267393
4.9,16.9,2.25,-493.0739561090402
13.6,16.9,2.25,-609.9014157831816
5.5,17.8,2.53,-546.475430223519
2.3,16.6,2.72,-492.9074404278179
5.7,16.6,2.72,-521.0720511526088
8.9,17.8,2.53,-591.1948673267534
11.9,18.0,1.24,-467.27059629079565
13.8,17.9,2.53,-680.8221924478895
10.6,16.7,2.72,-598.4608229103354
6.8,16.8,2.72,-541.7744033840486
9.8,17.0,2.25,-546.4776335348055
6.6,18.0,2.53,-566.6056551572358
4.7,18.1,1.24,-456.2316097102074
10.0,18.0,2.53,-619.449587790659
2.8,18.1,2.53,-530.6020645910982
11.7,16.9,2.72,-632.1111617362918
7.9,17.0,2.72,-564.6505923277471
7.7,18.2,2.53,-588.7416585557361
12.8,17.1,2.72,-656.4611780490369
8.1,18.1,1.24,-462.8087030144706
9.0,17.2,2.72,-591.5667960464821
13.0,18.2,1.24,-479.45836962918406
11.1,18.2,2.53,-644.6401836045798
5.8,18.3,1.24,-463.07092742273284
9.2,18.3,1.24,-470.1793019721206
3.9,18.3,2.53,-545.1158662012532
5.2,17.3,2.72,-539.4965540505391
2.6,17.1,2.25,-485.5029175451838
12.2,18.4,2.53,-669.2125715209376
5.0,18.5,2.53,-563.9854047250619
13.3,18.6,2.53,-694.310429605559
2.0,18.4,1.24,-457.56556548401045
6.1,18.7,2.53,-584.1106420277893
13.9,17.3,2.72,-683.3586155851123
10.1,17.4,2.72,-620.7220306346917
6.9,18.5,1.24,-468.836734619421
6.0,17.1,2.25,-508.3746367113444
2.9,17.5,2.72,-523.3412813091566
6.3,17.5,2.72,-559.7342224733596
11.2,17.6,2.72,-645.4807192548024
4.0,17.7,2.72,-540.0522201075624
10.9,17.2,2.25,-568.7404687292334
3.7,17.3,2.25,-498.4555692806658
10.3,18.5,1.24,-477.1861292239612
7.1,17.3,2.25,-524.9242223986765
7.4,17.7,2.72,-582.7545500503948
3.1,18.6,1.24,-465.94327006772824
12.3,17.8,2.72,-670.8889944479766
12.0,17.4,2.25,-598.3146534699745
2.3,18.8,2.53,-547.7676720224594
4.8,17.5,2.25,-511.73432247948045
8.2,17.5,2.25,-543.4428599270582
5.1,17.9,2.72,-558.3908507559181
8.5,17.9,2.72,-609.371893101264
13.1,17.6,2.25,-630.2359093585249
13.4,18.0,2.72,-696.1537320080915
6.2,18.1,2.72,-579.1193618114376
8.0,18.7,1.24,-476.6929971565519
7.2,18.9,2.53,-605.7185920513356
5.9,17.7,2.25,-527.435262711635
9.3,17.7,2.25,-566.1071897220137
9.6,18.1,2.72,-634.2118152781186
2.1,17.8,2.25,-502.7715589053727
10.4,17.9,2.25,-588.8723869415288
3.2,18.0,2.25,-514.8932691583989
2.4,18.2,2.72,-540.7174318974373
7.3,18.3,2.72,-603.2319115034895
10.7,18.3,2.72,-660.41350141913
10.6,18.9,2.53,-659.4979024205154
3.5,18.4,2.72,-557.2607596328046
11.5,18.1,2.25,-617.1808291332358
3.4,19.0,2.53,-563.5427408445772
8.4,18.5,2.72,-628.8053605791397
8.3,19.1,2.53,-630.2707591611467
11.8,18.5,2.72,-683.8409095954833
4.3,18.2,2.25,-529.0977865973488
12.6,18.3,2.25,-639.8153466039554
4.6,18.6,2.72,-575.5719676694926
11.4,18.7,1.24,-486.29786701764607
4.2,18.8,1.24,-473.0513474179667
9.5,18.7,2.72,-652.7462510210266
11.7,19.1,2.53,-685.3895346283987
12.9,18.7,2.72,-703.2445478574156
5.4,18.4,2.25,-544.3831814283792
8.8,18.4,2.25,-582.6675177750856
5.7,18.8,2.72,-596.5416790061641
13.7,18.5,2.25,-666.1569871163575
4.5,19.2,2.53,-580.7917067658394
9.1,18.9,1.24,-485.6093875200665
12.5,18.9,1.24,-495.7383505403095
5.3,19.0,1.24,-478.36536409934155
6.5,18.6,2.25,-562.4248490196474
14.0,18.9,2.72,-725.0073588879056
9.9,18.6,2.25,-606.8798399938412
9.4,19.3,2.53,-652.5238143764268
6.8,19.0,2.72,-619.6366567267766
10.2,19.1,1.24,-494.33188190769715
12.8,19.3,2.53,-701.3734546466799
3.0,19.1,2.72,-574.1656445523704
2.7,18.7,2.25,-531.5651349778773
13.6,19.1,1.24,-503.8429266411781
7.9,19.2,2.72,-643.1431646607464
5.6,19.4,2.53,-600.6168237646364
7.6,18.8,2.25,-583.3919242797126
11.0,18.8,2.25,-629.6356772608992
3.8,18.9,2.25,-546.2045452184946
10.5,19.5,2.53,-676.2049045576355
13.9,19.5,2.53,-722.8433618176622
6.4,19.2,1.24,-485.6615665616662
6.7,19.6,2.53,-622.2515141670278
8.7,19.0,2.25,-604.3525563387283
2.6,19.3,1.24,-482.7098217501325
2.9,19.7,2.53,-580.2320131635406
12.1,19.0,2.25,-655.7040672698865
4.9,19.1,2.25,-561.6168804319382
4.1,19.3,2.72,-592.3970531538926
9.0,19.4,2.72,-667.0676366967405
11.3,19.3,1.24,-500.9860255113711
11.6,19.7,2.53,-700.9038276903021
12.4,19.4,2.72,-717.4291465901113
7.5,19.4,1.24,-493.7212277564262
9.8,19.2,2.25,-625.9618323674193
5.2,19.5,2.72,-613.5519922612096
10.1,19.6,2.72,-690.6680052068363
13.2,19.2,2.25,-680.5601078100588
6.0,19.3,2.25,-579.6370511603876
7.8,19.8,2.53,-644.0651746300877
3.7,19.5,1.24,-488.33502169846025
13.5,19.6,2.72,-737.830820328852
6.3,19.7,2.72,-635.7774933802875
2.5,19.8,2.72,-589.7357160493805
11.2,19.8,2.72,-709.7815264251599
2.2,19.4,2.25,-549.4845414372152
4.0,19.9,2.53,-597.4091481124657
8.6,19.6,1.24,-502.84797197609396
4.8,19.7,1.24,-494.86884845705447
10.9,19.4,2.25,-647.3536381101145
7.1,19.5,2.25,-598.8993615771586
3.3,19.6,2.25,-561.7464205852787
12.7,19.9,2.53,-717.3323014280678
7.4,19.9,2.72,-657.8050067565656
12.0,19.6,2.25,-671.8806111233569
9.7,19.8,1.24,-510.8335336159539
8.2,19.7,2.25,-620.9335694345549
5.9,19.9,1.24,-502.4349276326476
8.9,20.0,2.53,-667.0984053487385
4.4,19.8,2.25,-578.7580526300103
13.1,19.8,2.25,-695.4475647291215
2.1,20.0,1.24,-498.2128720448152
3.6,20.0,2.72,-608.6176045252604
10.8,20.0,1.24,-518.581800407846
9.3,19.9,2.25,-641.5322449111279
12.3,20.0,2.72,-731.8323451484665
5.5,20.0,2.25,-596.2488757972717
